word,number
اضطهاد,-2
مضطرب,-2
مزعج,-2
تشاؤم,-2
متشائم,-2
متحجر,-2
رهاب,-2
رائع,2
يجمع,-1
أثار,-2
منزعج,-2
شخ,-4
سكران,-4
التبول,-3
بائس,-2
يشفق,-1
شفقة,-2
مرح,2
جَذّاب,3
من فضلك,1
مسرور,3
بكل سرور,3
متوازن,-2
سم,-2
تسمم,-2
السموم,-2
تلوث,-2
ملوث,-2
ملوث,-2
الملوثين,-2
يلوث,-2
فقير,-2
أفقر,-2
أفقر,-2
جمع,3
إيجابي,2
بشكل ايجابي,2
صيغة الملكية,-2
يؤجل,-1
مؤجل,-1
يؤجل,-1
تأجيل,-1
فقر,-1
قوي,2
ضعيف,-2
مدح,3
أشاد ومدح,3
يمدح,3
مدح,3
يصلي,1
يدعو,1
يصلي,1
prblm,-2
prblms,-2
أعدت,1
الضغط,-1
الضغط,-2
يدّعي,-1
التظاهر,-1
يتظاهر,-1
جميل,1
يحول دون,-1
منعت,-1
منع,-1
يمنع,-1
وخز,-5
السجن,-2
أسير,-2
سجناء,-2
ذو امتياز,2
استباقي,2
مشكلة,-2
مشاكل,-2
مستغل,-2
تقدم,2
بارز,2
يعد,1
وعد,1
وعود,1
يرقي,1
ترقية,1
يروّج,1
تعزيز,1
دعاية,-2
محاكمة,-1
مقاضاة,-2
المحاكمات,-1
الملاحقة القضائية,-1
احتمال,1
آفاق,1
مزدهر,3
يحمي,1
محمي,1
يحمي,1
وقفة احتجاجية,-2
المتظاهرين,-2
احتجاجا,-2
الاحتجاجات,-2
فخور,2
بفخر,2
يستفز,-1
استفزاز,-1
يستفز,-1
استفزاز,-1
العلوم الزائفة,-3
يعاقب,-2
يعاقب,-2
يعاقب,-2
عقابي,-2
انتهازي \ متغطرس,-1
في حيرة,-2
مهتز,-2
مشكوك فيه,-2
تساؤل,-1
استجواب,-1
عنصرية,-3
عنصري,-3
العنصريين,-3
غضب,-2
خسيس,-2
ماطر,-1
تبجح,-3
عشب,-3
الصراخ,-3
الصراخ,-3
اغتصاب,-4
مغتصب,-4
نشوة الطرب,2
اختطف,2
نشوة الطرب,2
هائج,4
متسرع,-2
صدقت,2
تصل,1
وصل,1
يصل,1
الوصول,1
طمأن,1
مطمئن,1
يطمئن,1
مطمئن,2
تمرد,-2
ركود اقتصادي,-2
متهور,-2
نوصي,2
مستحسن,2
توصي,2
افتدى,2
رفض,-2
رفض,-2
رفض,-2
ندم,-2
نادم,-2
ندم,-2
تأسف,-2
الندم,-2
رفض,-1
مرفوض,-1
الرافضين,-1
يرفض,-1
نبتهج,4
ابتهج,4
يفرح,4
ابتهاج,4
استرخاء,2
لا هوادة فيها,-1
الاعتماد,2
اعفاء,1
مرتاح,2
يخفف,1
تخفيف,2
الاستمتاع,2
لافت للنظر,2
الندم,-2
صد,-1
صدت,-2
إنقاذ,2
أنقذت,2
عمليات الإنقاذ,2
استياء,-2
استقيل,-1
استقال,-1
استقالة,-1
يستقيل,-1
حازم,2
حل,2
تم الحل,2
يقرر,2
حل,2
محترم,2
مسؤول,2
متجاوب,2
مريح,2
الأرق,-2
يعيد,1
رمم,1
يستعيد,1
استعادة,1
بتقييد,-2
مقيد,-2
تقييد,-2
تقييد,-2
يقيد,-2
المحتجزة,-1
يؤخر,-2
متخلفا,-2
تراجع,-1
انتقام,-2
انتقامي,-2
موقر,2
اعادة احياء,2
ينعش,2
جائزة,2
يكافأ,2
مجزي,2
المكافآت,2
ثري,2
سخيف,-3
اجهزة,-1
مزورة,-1
الاتجاه الصحيح,3
صارم,3
بصرامة,3
شغب,-2
أعمال الشغب,-2
مخاطرة,-2
المخاطر,-2
روب,-2
السارق,-2
رداء,-2
الجلباب,-2
السرقة,-2
قوي,2
روفل,4
روفلكوبتر,4
roflmao,4
رومانسي,2
rotfl,4
rotflmfao,4
روتفلول,4
يخرب,-2
مدمر,-2
تخريب,-2
أثار,-2
تخريب,-2
حزين,-2
حزين,-2
حزين,-2
للأسف,-2
آمنة,1
بأمان,1
سلامة,1
"بارز، ملحوظ",1
أخضر,-1
ساخر,-2
راضي,2
حفظ,2
أنقذ,2
احتيال,-2
الحيل,-2
فضيحة,-3
فضيحة,-3
فضائح,-3
كبش فداء,-2
كبش فداء,-2
فزع,-2
مفزوع,-2
مخيف,-2
متشكك,-2
وبخ,-2
مغرفة,3
سخرية,-2
الازدراء,-2
تصرخ,-2
صرخت,-2
صراخ,-2
صرخات,-2
ثمل,-2
ثمل,-3
شخص حثالة,-4
يؤمن,2
مؤمن,2
يؤمن,2
الفتنة,-2
الفتنة,-2
مغوي,-1
واثق من نفسه,2
مخدوع,-2
أنانية,-3
أنانية,-3
جملة او حكم على,-2
حكم,-2
جمل,-2
الحكم,-2
هادئ,2
شديدة,-2
جنسي,3
مهتزة,-2
عار,-2
عار,-2
مخجل,-2
شارك,1
مشترك,1
تشارك,1
محطمة,-2
القرف,-4
متهور,-4
غزر,-3
صدمة,-2
صدمت,-2
مروع,-2
الصدمات,-2
أطلق النار,-1
قصر النظر,-2
قصر النظر,-2
نقص,-2
النقص,-2
زبابة,-4
خجول,-1
مرض,-2
تنهد,-2
الدلالة,1
هام,1
إسكات,-1
سخيف,-1
مخلص,2
بإخلاص,2
صادق,2
اخلاص,2
شرير,-3
أحادي التفكير,-2
متشكك,-2
متشكك,-2
شك,-2
المتشككين,-2
ضربة عنيفة,-2
خفض,-2
مقطوع,-2
مائلة,-2
القطع,-2
عبودية,-3
الأرق,-2
بقعة,2
أملس,2
أملس,2
بطيئا,-2
وقحة,-5
ذكي,1
أذكى,2
أذكى,2
مسحة,-2
ابتسامة,2
ابتسم,2
يبتسم,2
يبتسم,2
الضباب الدخاني,-2
متستر,-1
ازدراء,-2
متجاهل,-2
الزجر,-2
يتغاضى,-2
رصين,1
نمطي,-1
صلب,2
تكافل,2
المحلول,1
حلول,1
يحل,1
تم حلها,1
يحل,1
حل,1
حزين,-2
بعض الأنواع,0
ابن العاهرة,-5
تهدئة,3
مهدئا,3
مهدئ,3
تعقيدا,2
تقرح,-1
حزن,-2
محزن,-2
آسف,-1
رسائل إلكترونية مزعجة,-2
مرسل بريد عشوائي,-3
مرسلي البريد العشوائي,-3
البريد العشوائي,-2
شرارة,1
التألق,3
بريق,3
متألق,3
تخميني,-2
روح,1
مفعم بالحيوية,2
بلا روح,-2
حاقد,-2
رائع,3
خفيف,2
سحق,-1
طعنة,-2
طعن,-2
مستقر,2
طعنات,-2
المماطلة,-2
توقفت,-2
توقف,-2
القدرة على التحمل,2
فرار جماعي,-2
مذهول,-2
جاع,-2
جوعا,-2
يجوع,-2
متضور جوعًا,-2
صامد,2
سرقة,-2
يسرق,-2
الصورة النمطية,-2
النمطية,-2
خنق,-1
يحفز,1
حفز,1
يحفز,1
تنشيط,2
بخيل,-2
مسروق,-2
قف,-1
توقفت,-1
وقف,-1
توقف,-1
شجاع,2
مستقيم,1
غريب,-1
بغرابة,-1
خنقا,-2
قوة,2
تعزيز - يقوي,2
عززت,2
تقوية,2
يقوي,2
مضغوط,-2
الإجهاد,-2
الضغوطات,-2
منكوبة,-2
يضرب,-1
المضربين,-2
الإضرابات,-1
قوي,2
أقوى,2
أقوى,2
أصابت,-1
صراع,-2
قاوم,-2
النضالات,-2
يكافح,-2
عنيد,-2
عالق,-2
فاجأ,-2
مدهش,4
غبي,-2
بغباء,-2
رقيق,2
حقيقي,1
جوهريا,1
تخريبي,-2
النجاح,2
ناجح,3
مص,-3
تمتص,-3
يعاني,-2
معاناة,-2
يعاني,-2
انتحاري,-2
انتحار,-2
مقاضاة,-2
عبس,-2
عابس,-2
متجهم,-2
إشراق,2
ممتاز,3
رائع,5
متفوق,2
الدعم,2
أيد,2
"مؤيد، مشجع، داعم",1
أنصار,1
دعم,1
يدعم,2
يدعم,2
نجا,2
البقاء على قيد الحياة,2
الناجي,2
مشتبه فيه,-1
مشتبه به,-1
الشك,-1
المشتبه بهم,-1
تعليق,-1
موقوف عن العمل,-1
مثير للشك,-2
أقسم,-2
أداء اليمين الدستورية,-2
يقسم,-2
حلو,2
سريع,2
بسرعة,2
يحتال,-3
النصب,-3
نصب,-3
ودي,2
تعاطف,2
متأخر,-2
دموع,-2
مناقصة,2
توتر,-2
توتر,-1
كريه,-3
بشكل رهيب,-3
رائع,4
مذعور,-3
الرعب,-3
أرعب,-3
أرعب,-3
يرعب,-3
شكر,2
شاكرين,2
شكرًا,2
شائك,-2
وقور,2
طائش,-2
التهديد,-2
هدد,-2
هدد,-2
تهديد,-2
يهدد,-2
التهديدات,-2
بسعادة غامرة,5
أحبط,-2
أحبطت,-2
إحباط,-2
يحبط,-2
خجول,-2
جبان,-2
مرهق,-2
الثدي,-2
متسامح,2
بلا أسنان,-2
أعلى,2
قمم,2
تمزقها,-2
تعذيب,-4
معذب,-4
تعذيب,-4
تعذيب,-4
شمولي,-2
الشمولية,-2
توت,-2
توصف,-2
الترويج,-2
يروج,-2
مأساة,-2
مأساوي,-2
هادئ,2
فخ,-1
مُحاصَر,-2
صدمة,-3
صادم,-3
مهزلة,-2
خيانة,-3
خيانة,-3
كنز,2
كنوز,2
يرتجف,-2
مرتجف,-2
خداع,-2
خداع,-2
انتصار,4
منتصر,4
مشكلة,-2
مضطرب,-2
مشاكل,-2
TRUE,2
ثقة,1
موثوق به,2
ورم,-2
الفرج,-5
البشع,-3
غير مقبول,-2
غير مقدر,-2
غير موافق عليه,-2
غير مدرك,-2
لا يصدق,-1
غير مؤمن,-1
غير متحيزة,2
غير مؤكد,-1
غير واضح,-1
غير مريح,-2
غير مبال,-2
غير مؤكد,-1
غير مقتنع,-1
غير معتمد,-1
متردد,-1
يقلل من شأن,-1
التقليل من شأنها,-1
يستخف,-1
التقليل,-1
تقويض,-2
تقوض,-2
يقوض,-2
تقويض,-2
غير مستحق,-2
غير مرغوب فيه,-2
غير مستقر,-2
البطالة,-2
غير متكافئ,-1
لا مثيل له,2
غير اخلاقي,-2
غير منصف,-2
غير مركّز,-2
لم تتحقق,-2
تعيس,-2
غير صحي,-2
موحد,1
غير متأثر,-2
غير ذكي,-2
المتحدة,1
غير عادل,-2
غير محبوب,-2
غير محبوب,-2
لا مثيل لها,1
غير محفز,-2
غير محترف,-2
غير مفحوصة,-2
غير راضي,-2
غير مضمون,-2
غير مستقر,-1
غير متطور,-2
غير مستقر,-2
لا يمكن وقفه,2
غير مدعوم,-2
غير متأكد,-1
لم تشوبها شائبة,2
غير مرغوب فيه,-2
لا يستحق,-2
منزعج,-2
الاضطرابات,-2
مزعج,-2
متوتر,-2
العاجلة,-1
مفيد,2
فائدة,2
عديم الفائدة,-2
عدم الجدوى,-2
غامض,-2
التحقق من صحة,1
التحقق من صحتها,1
يتحقق,1
التحقق من صحة,1
حكم,-1
الأحكام,-1
مكتسبة,1
انزعاج,-2
مزعج,-2
نابض بالحياة,3
وحشي,-2
ضحية,-3
ضحية,-3
ضحية,-3
ضحية,-3
الإيذاء,-3
الضحايا,-3
اليقظة,3
حقير,-3
تبرئة,2
مبرر,2
تبرئة,2
تبرئة,2
ينتهك,-2
انتهكت,-2
ينتهك,-2
ينتهك,-2
هنف,-3
عنيف,-3
فاضلة,2
خبيث,-2
رؤية,1
البصيرة,3
الرؤية,1
رؤى,1
حيوية,3
فيتامين,1
"حاقد، ماكر",-3
مرح,3
صاخب,-1
وهن,-2
غير حصين,-2
الخروج,-2
الإضرابات,-2
wanker,-3
يريد,1
حرب,-2
حرب,-2
دافيء,1
الدفء,2
تحذير,-2
محذر,-2
تحذير,-3
تحذيرات,-3
يحذر,-2
المخلفات,-1
ضاع,-2
الهزال,-2
متذبذب,-1
ضعيف,-2
ضعف,-2
ثروة,3
ثري,2
المرهق,-2
ابكي,-2
البكاء,-2
عجيب,-2
أهلا بك,2
رحب,2
يرحب,2
مرح,1
تبرئة,-3
عاهرة,-4
شريرة,-2
الأرامل,-1
الرغبة,2
فوز,4
الفائز,4
الفوز,4
يفوز,4
winwin,3
رغبة,1
التمنيات,1
الراغبين,1
انسحاب,-3
woebegone,-2
محزن,-3
فاز - ربح,3
رائع,4
وو,3
ووهو,3
ووو,4
واو,4
البالية,-1
قلق,-3
قلق,-3
مقلق,-3
أسوأ,-3
تزداد سوءا,-3
ساءت,-3
تفاقم,-3
يسوء,-3
يعبد,3
أسوأ,-3
يستحق,2
عديم القيمة,-2
ذو قيمة,2
رائع,4
واو,4
واووو,4
غاضب,-3
حطام سفينة,-2
خاطئ - ظلم - يظلم,-2
مظلوم,-2
ماهذا الهراء؟,-4
بلى,1
توق,1
نعم,2
نعم,1
شاب,2
مقزز,-2
لذيذ,3
متعصب,-2
المتعصبين,-2
متحمس,2
