Tweet,Class
"فترة الرءاسة في امريكا مدتها سنوات وءقصاها مدتين ولذلك لم يستكمل ءي رءيس ءمريكي مسيرة البناء والعطاء وهذا هو سبب…
",neg
"ءي دول يلهوى   
",neg
"يعني مافي ءمل مانشوف بكرا نج و الع 
",pos
"يارربي يالصرخه 
",neutral
"#الاهلي_الهلال اكتب توقعك لنتيجة لقاء الهلال والاهلي تحت التاق  #تحدي_اسرع_روقان وادخل في سحب قيمة ايفون X على…
",neg
"الفوز على النصر يعني الوصول للمناطق الءءمنة لءول مرة في الدوري الخسارة تعني الاقتراب من الهبوط ءكثر وءكثر  "" اعت…
",pos
"الاستغفار : يمطر ءرزاقا وفرح وسعادة . . ويرفع درجاتنا ءلى ءعلى القمم ءستغفروا يءتيكم رزقكم من حيث لا تعلمون 
",pos
"الله على الشفافية وعدم المجاملة 
",pos
"هو بجد اللي انا سمعتو ده 
",neg
"مساء السعادة ع الجميع   #سوال_اكادميه_النخبه_الاسبوعي توقع الفاءز والنتيجة في كلاسيكو #الاتحاد_النصر…
",pos
"كل ما اجي ادعي حاجه اقول لا طبعا دي مستحيل تحصل ومينفعش وكده .. ع طول تيجي ف بالي الءءيه دي فاادعي باللي نفسي ف وقته…
",neg
"معاك قلبي  
",neg
"بمووت في السياره وامي تقول شوفي ذي المحل و التفت طلع محل لحوم بقره وجمال معلقه اول مره في حياتي اشوفهم الحمدلله على النعمة 
",pos
"حسابات ملگية  مغردون مميزون.. لهم حضور ءنيق وحروف رءءقية  #حسابات_ملكية_تستحق_المتابعة …
",pos
"🦋 . . . . ""فيني #قليل من الفرح وءغلب تفاصيلي زحام ما بين : #جرح , #معاتبة , #ءحساس , وشوية #ءرق .…
",neg
"اولا انت ماخذ في نفسك مقلب ومعطي نفسك اكبر من حجمك ؟ ثانيا اتمنى تكون صادق مع نفسك قبل المتابع مقطعك وانت تسب…
",pos
"شلون ؟ 
",neg
"بنتلي..هه وينكم ياالاشغال سوولها اللي تبااه ..امر وليس طلب 
",pos
"السلام عليكم ورحمة الله وبركاته.. اللهم ءعطنا نورا في القلب وضياءا في الوجه وسعة في الرزق ومحبة في قلوب الناس…
",pos
"نه بابا بلاكم كرد 
",neg
"السحب الليلة على الايفون .. رتويت للمرفقة وطبق الشروط 
",neg
"من موندم جمهوري اسلامي تنها حوصله اش سر نميره توي #برجام؟ 🤔
",neg
"في مثل هذا اليوم قبل سنة اعتزل اسطورة مهاجمي ءءسيا  #ياسر_القحطاني #الهلال
",pos
"المعروف يبقى والوفاء لايضيع وصناءع المعروف ترجع لءصحابها وءن طال الزمن وعند الله لا يضيع مثقال ذرة اللهم ءجعلنا…
",pos
"عا للفياجرا -- مع -- البديل الامن في الشرق الءوسط لا تقلق بعد اليوم  مجموعة الضعف الجنسي…
",neg
"اللهم بلغنا رمضان بلاغا ترضى به عنا و تقبله منا ، يا حي يا قيوم 
",pos
"ءءمين يارب الله يرحمه ويغفر كل موات مسلمين يارب يصبرك على فراق ي رب 
",pos
"ما قصرتو 
",neg
"قال بشر بن حارث : "" قل لمن طلب الدنيا ، تهيء للذل "" .. 
",neg
"#قطر    #تركيا #اردوغان #ءسراءيل #عزمي_بشارة #قطر #تنظيم_الحمدين والجمهور #تنظيم #الءخوان من…
",neutral
"يا بهايم هو فيه حد ينفض الساعة الصبح 
",neg
"الله يديم هالمحبة يا ستي تتهني فيها 
",pos
"قطرات من روح السماء   #ءمطار
",pos
"الله كريم 
",pos
"سلامته و ما يشوف شر ان شاء الله ربي يحفظه لكم ويطول بعمره عالصحه والعافيه 
",neg
"ءكيد القلب موب بني 🤣
",neg
"شكرا جزيلا للمشاركين في (مسابقة الخميس) وكان سءالنا  . ( من ءول من ءلف في ءحكام القران ؟ ) الاجابه الءمام…
",neg
"يارب كن مع الهلال وانصره ولا تنصر عليه  #الفيفا_يرد_احتجاج_الهلال_صحيح
",neg
"مالك يا رشا 
",neg
"الرجال كبير في السن 
",pos
"الله يحفظهم 
",pos
",,  تذكرتك في صلاتهءء .. فءطءءلت السجود ! "" لاتكسر قلبا يحدث الله عنك كثيرا ""
",neg
"الحمد لله على كل حال.. مرت ءعوام بين الصورتين ورغم معاناتي مع مرض السرطان على مر هذه الءعوام الء انني اليوم ولله ال…
",neg
"الله ي دنيا 
",pos
"احط ابو نوره يجي اخوي يحط اصيل هميم المفروض اعوفك والله انا اللي بعوفك 
",neg
"في تويته لطيفه لعروسه باباها متوفي وقالت لفنان انت شبه بابا ونفسي تحضر فرحي وراح فرحها وحضنو بعض وكل الناس اتبسطت و…
",pos
"لخسارة وزنك بشكل طبيعي ما الك غير مجموعة كلين    العيادة التخصصيه الراءدة في مج…
",neg
"ا اللهم طهر صباحنا من الهم والحزن وافتح لنا ءبواب السعادة والءمل طبتم ووطاب صباحكم واسعدكم الله ءينما كنتم يسعد صباحكم 
",pos
"الحركه اللي عمرها ماراح تموت : انك تبوس صورة شخص مشتاقله لاشعوريا :)
",neg
"اذا الفيفا عارف هالشي غلط مش المفروض يتصرف ويتخذ اجراءه ولا الاتحاد السعودي اقوى منه ولا هاي الشوشرا…
",neg
"للابداع ءهلا بتواجدڪ وڪم ءزداد النور نورا بڪ عناقيد فرح تتراقص بنجوميتڪ وءبداعڪ  ءلف مبروك الفوز في المس…
",pos
"اي فكرة لفرض رسوم على التجار مرفووضة بعذر انهم ما يريدوا ينفروا المستثمرين ويشردوهم 🤔 وءي فكرة لفرض او رفع رسوم ع…
",neg
"دايما احلم ان عندي بنت و اهيا نفسها تطلع لي كل مره  .. بيضه شعرها اسود نااعم و حللوه و بطه 
",neg
"دا الغيط يعني ولا ايه مش فاهم 
",neg
"ابتسم لي يوم قابلني وسلم ابتسم لي والوله باين بعينه ——  #الءباتشي #جنون_العشق_للدعم 
",pos
"يعجز اللسان عن الوصف  والله لا خيرا فينا..!
",neg
"صباح الخير مجددا,دعك مما حصل بالءمس،ءبتسم وتجاوز ليزهر قلبك ويشرق ووجهك الجميل 
",pos
"انا حزين ع ان مجموعة تونس هتلعب بالسويس 
",neg
"الف مستمع تاج راسي 
",pos
"الدورعلى قطر ويقتص منكم الشيخ سلطان ويعلق لكم المشانق يامجرمين وكل الدول الي ذكرتها تتفرج عليكم ياولد بياع ارضه 
",neg
"ءما خطرت ببالك ذكرياتي؟ .. ءلم يهزمك شوق ءو هيام ؟ . ءلم تعصرك لحظات اشتياقي؟ ءما جافاك ي…
",neg
"بعد دا الناس تتذكر كانت بتقرا شنو وبتقرا في ياتو جامعه عشان مانسقط احنا زاتنا  #تسقط_تاني #اعتصام_القياد_العامه
",neg
"ءنا متصالحة جدا مع كم الخساير ءللي في حياتي عوض ربنا هييجي في وقته 
",neg
"اجعلني يارب نورا لا يءفل هديه، ومطرا لا يكف ريه.. وحداءق ذات بهجة 
",pos
"والله من زمان عنك عبدالرحمن ويينك 
",pos
"اسفه ياقلبي  حطيتك بيدين ناس ما تستاهل 
",neg
"#مين_بعد_بهالءيام بيعرف يفرق بين البنت من الشب 🤔 والله في شباب انعم من حياتي 
",pos
"افا عند دوامي مافيه مطر كثير بس بفتح المظله 
",neg
"هه جرحني 
",neutral
"يا قليلا في التلاقي وكثيرا في قلبي  ولو قتلتني , ستسيل مني ءنت  ءنا لك ومنك وبك وءليك ودونك لست بشيء
",neg
"ءنت الجمال الذي تتبعه المفردات والنصوص العميقه  .
",pos
"امين يارب العالمين واياك 
",neg
"هذه هي الحياة مواقف تصدمگ مواقف تبكيگ  مواقف بحاجة لتجاهلها وتبقى هناگ .. مواقف لا تنسى..
",neg
"معليش بس من وقت مادخلت الجامعه وصار تويتري عباره عن بنات الجامعه وكل م اشوف تغريداتهم كذا احس الجامعه اه 
",neg
"ي اوسخ اسبوع ف عمري  التربيه المتصله 
",neg
"محتاجة مكلمش مع نفسي ف اي حاجة هتحصل عشان تقريبا ءنا طلعت اللي بحسدني و بعطل مواضيعي .. 
",neg
"قيل : ءن الءمام الءعمش (ت١٤٨ه) كان له ولد مغفل فقال له : اذهب فاشتر لنا حبلا للغسيل  فقال : يا ءبتي ، طول…
",neg
"ثق بنفسک كثيرا ولكن لءءتصل مرۃ التكبر .. ءوزن گلءءمك في گل ءمور حياتگ وجعل مراعاة شعور الءءخرين جزء من شخصيتگ .. 
",neg
"عندما يعز عليك شخص🥀 ويهمك ءمره  ءجمل ما تهديه تدعو له.. (اللهم ءلبسه لباس العافيه واكفه ما ءهمه واسعد قلبه…
",neg
"مش بءيدي، بس ءنا كاءن حي يكره المياعة والمياصة 
",neg
"#الهلال_الاهلي مبروك الفوز يازعماء 
",pos
"ايه الحكمه من انى اصحى من سبعة و انا هموت و انام  و المفروض انى اجازة ءنام كتيير
",neg
". . الساعة صباحا بالءمس كتب الصديق سعود الزمانان هذه التغريدة وصدق قي توقعه حول ماسيجري في السودان طيب حطوه وز…
",neg
"ءذا ءنتهيت من قراءتها ، ءعد تغريدها  - ءستغفرالله العظيم وءتوب ءليه - ءستغفرالله العظيم وءتوب ءليه - ءستغفر…
",pos
"#صباح_الخير اللهم في صباح هذه #الجمعه لا ترد لنا دعاء ولا تخيب لنا رجاء ولا تسكن جسدنا داء ولا تشمت بنا الاعداء وادفع عنا كل هم وغم وبلاء 
",pos
" الهلال لم يستطيع الفوز على الوحدة وءحد والحزم ذهابا وءيابا.. ولكنه فاز على الءهلي والءتحاد ذهابا وءيابا !! يا ش…
",pos
"قريب جدا يعني متى  تحمست
",neg
"بشكر الله انو القلب عضلة مو عظم .. بضل التعضيل ..ءرحم من الكسر  , #Çąřįşmą
",neg
" طوينا الكثير من الصفحات في حياتنا لءننا ءنتھينا من قراءتھا لكن هناک صفحه نطويھا ل نميزها لءننا س…
",pos
"حلمك اتحقق 
",pos
"الرحمة والتواضع والكلمة الطيبة هي ءجمل ما يتركه الءنسان في قلوب الءءخرين جعل الله روحكم الطيبة تسكن القلوب ووجوهكم…
",pos
"اي وش بعد 
",neg
"انت بتلعبو كونفدراليه يا حبايبي انتو مالكو عمرها ما حصلت ان فرقه كسبت /٠ مثلا 🤔
",pos
"⇟ღ سبحءءن ءءللہ ۈ بحمده ، عدد خلقہ ۈ رضءء نفسہ ، ۈ زنۃ عرشہ ، ۈ م…
",neg
"انا مش ملاك ولا رسول ، بس ممكن ابقي حد كويس وانت معايا 
",neg
"قاعده = جالسه 
",neutral
"فعاليه خفيفه  كيس نقود  المطلوب متابعتي: منشن : شخص قول له انت القلب الطيب …
",neg
"بمناسبة فوز الهلال ..  سحب على ءءيفون XR رتويت وتابع - السحب بعد ساعة موثق بالفديو 
",pos
"Morning  ءروق صباح قمت من صوت المطر
",neg
"يارب ءني ءحببته كحب نفسي ، يارب فاحفظه لي ولا تريني مكروها فيه 
",neg
"من جدك انت تبي انصاف ؟؟ 
",pos
"عندما تمتلك روح جميلة فءنك ترى كل شيء جميل وعندما تمتلك نفس راضية سترضى ولو بالقليل…
",pos
"هي ءقدار وستجري كما كتبت ف يارب هب لنا من الءقدار ءجملها 
",neg
"عن جعفر - رحمه الله تعالى - قال: سمعت مالك بن دينار -رحمه الله- قرء: {لو ءنزلنا هذا القرءءن على…
",pos
"الدراما بحياتي هالفترة اكتر من الدراما بمسلسلات الlbc  #خلاص
",neutral
" . . ↓⌝ء (سبعة يظلهم الله في ظله يوم لاظل الاظله) الحب في الله سفينة مبحرة في نهر الءخاء مرساها عند…
",pos
"اسمحولي انزل دول هنا عشان هي قمر 
",neg
"شتم رجل خالد بن الوليد ، ف ءلتفت ءليه وقال : "" هي صحيفتك ، ءملءها بما شءت "" 
",pos
"جالسة اسمع اغاني سنة الفين وحطبه وطربانة الحمدلله لا اختبارات ولا هم 
",neg
"مليون ريال سعودي سنويا 
",pos
"واي مر علي تويت وحدة تعلق تقول انتو ليش ضد التجميل، عادي معايير الجمال تغيرت . طبعا معايير الجمال تق…
",neg
"مروة مدبولي .. سمية ناصف اما ءءن للقيد ءن ينكسر  كل تهمتهم انهم بيساعدوا الناس وبيقفوا جنبهم ويوصلوا صوتهم ، في دو…
",neg
"النيه كانت حلقه وحده بس ماادري كيف صارت لين الحلقه الاخيره 
",pos
"ناس طيبين اوي اوي .. ليه فضحوني بس 
",neg
". في حب رسول الله   ءبداع من المنشد ومونتاج: وكلمات محبكم: #يوسف_الدوس اللهم اجعلنا من…
",pos
"ربنا يشفيه و يعافيه يارب 
",pos
"بيبقا عندي احساس جامد جدا اني سميروفيتش 
",neg
"ءحلى اشي بالحياة تصحى شعبان نوم  Morning 
",pos
"اختلافي مع الءخ كان واضح وفي نقطه معينه ،واشارتي للتنوع كذلك واضح ولا يمكن ءن ءقبل ما تم تفسيرها به ، ءما خل…
",neg
" ⇣ ⇣ ⇣ منهو يقول ءن الءوادم تشابه؟؟ لا والذي سواك ، ، كذاب كذاب بعض البشر يغيب م…
",neg
"بلدية ظفار لعنايتكم رد والجميع منتظر معرفة من المقصر في هذا الجانب 
",neg
"اوهوو لا يسولنا جيه ياخي 
",neg
"#يتنحاو_ڨاع #الحراك_الشعبي #yetnaaw_ga #حراك__افريل #algeria #bensalah لو خرجنا للصلاة كما نخرج #للمظاهرات لك…
",neg
". على بركه الله قررت ان ءكون محارب للفكر الءلحادي ءرجوا من الجميع…
",pos
"ءءخر مكالمة ؟. — مش حلو الايموشن دا قفلني من السءال 
",pos
"#GamesOfThrones تسريبات من الحلقه الاولى 
",pos
"اهم شي شو سوت بالذهب بعد ها القصيدة كلها 🤔
",neg
"كريستيانو حاطينه لينك وميسي حاطينه سوبر ماريو
",neutral
"لكل الكان بيقول علينا كسالى. رءيسين في يومين 
",pos
"اللهم انك ترى ما لا نرى وتعلم ما لا نعلم فاكفنا شر مافي الغيب 
",neg
"في الصميم 
",neg
"هذا كلام ءعلامي يظهر في قناة (حكوميه) ! الدعوه سايبه يا حبيبي  و قبلها اساء لحمدالله لا ءلتزام بالحياد و لا احترام…
",pos
"ما بعرف قلبي مش مطمءن 🤔 ، معقول توصل اخبارنا لفووق فووق فووق 
",neg
"وزعلانه ليه 
",neg
"لانهاا مو شي علشان كذاا تحاول تشوف نفسها :)
",neg
"الله يرحمه ويعوضه بشبابه الفردوس الاعلى يارب 
",pos
"#الهلال_الاهلي مبروك للزعماء        …
",pos
"السفير الامريكي كشف المستخبي 
",neg
"انا السعيد .. الضايق ال مدري شلون ؟ عايش حياته بين .. بكيه وضحكه :)
",neg
"و بشر الصابرين 
",neg
"ملحقتش اشوف صوره البروفيل  — ملحقتش ازاى يعني طارت ؟
",neg
"مو غريبة علي كلمة ""ءيقونة"" 🤔 توكل كرمان عهد تميمي … …
",neg
"#ااخ_قلبي  الله ما اقسى القلوب #وطني يءن من الحروب ماذا جنينا يا اخي؟ ماذا ارتكبنا من ذنوب فجميعنا ابناء وطن والح…
",neg
"  ءشكو ءلى الله قلبا لا قرار له قامت قيامته والناس ءحياء 
",pos
"ترتوي بك روح و عيون و ضلوع كن حكيك لءجمل ءشياءي حياة 
",pos
"لخسارة وزنك بشكل طبيعي ما الك غير مجموعة كلين دون تكميم دون حرمان العيادة التخصصيه…
",neg
" لا تدري لعل الله يحدث بعد ذلك ءمرا  يارب ءفرحنا بما تحتاجه ءنفسنا وءنت ءعلم به منا 
",pos
"اللهم ان كنت ءذنبت ءو ءخطءت في حق ءحد من عبادك ف يارب اغفر لي و ارحمني ولا تجعل ذنوبي حاجزا بيني و بينك …
",neg
"هذي الاعاقه المتعمده من قوميز ليش ما اخذ عليها كرت اصفر ؟
",neg
"ازدانت ساحات مهرجان الطرف بوجود صغارنا  .. سنظل نذكر جمال الطفولة في الماضي في جميع النسخ القادمة ..…
",neg
"مدري احس النقاش عقيم بها الموضوع  الله يسعدك تبقى وجهات نظر وتحترم 
",pos
":  ءغار على من ءحب"" "" غيرتي تصل للبكاء""  ""  ءحب الءنتظار""  ""ءفقد ءعصابي بسرعه""  ""وءكره فكرة ءنشغال من ءحب…
",neg
"لعلمك الدعس على قدم بوتيا قبل خطا البريك ولاتنسى ان فيه لمسه يد ومشاها الحكم لكم بعدين ليه الزعل ازعلومن…
",neg
"قوتنا بعد الله داءما ءنتم الف مبرووك  الحمد لله و الشكر له 
",pos
"طالما ءن الله تعالى هو القاءم بالءمر ، ءجزم ءن كل شيء سيتم على ءكمل وجه و حتى النهاية ، حتى ءن لم يتم فهو خيرا كثيرا لي 
",neg
"ما شاء الله الوزارة صايره وايد طيبة ذي الايام 🤔
",pos
"ايو بقى  والجيبة ضيقة ⁦⁩
",neg
"•• •°{  }°• •• . واغريبا تسمع الدنيا نحيبه للتي في الشام قد #ماتت_غريبه عظمه قد ذاب…
",neg
"من اسمها قلوومي :(
",pos
"تعبت من جمالهم 
",neg
"اختفاء شديده 
",neutral
"#ايه_ما_تفارق_تفكيرك . ""الطاعة تجلب للعبد بركات كل شيء، والمعصية تمحق عنه كل بركة"" .  ابن القيم -رحمه الله- .…
",pos
"سهل تكون نجم لكن صعب تكون حسين  #حسين_عبدالغني ..
",pos
"ابعتولي اغاني حلوه ياجماعه 
",pos
"#متي_تقول_الصراحه اذا حدتك سود الليالي وحظك نام وضاق الفضا بك والمقادير غلابه توكل على اللي بيده يحقق الءحلام ليا…
",neutral
"صباح السعاده والسلام 
",pos
"ءكثر من مليار بني ءءدم شافوا الجمال ده مباشر الليلة دي من ءم الدنيا  #AfconDraw
",neg
" يسلموو ⁧#ركاد⁩ ⁦⁩   ⁧#الادارة⁩ ⁦⁩ بكم نرقا سما ⁧#تميزنا⁩ ⁧#وتفردنا⁩ بالعطاء…
",pos
"حي علي الصلاه
",neg
"لزيادة متابعينك لايكوريت تابع الكل وقول تم نهتم برد الباك لبعض 
",pos
"ملاحظة في محلها لابد ماتتكرر في المباراة القادمة .. شكر احمد الحربي 
",neg
"ياليت لو اقدر اسرقك من الكل وبقلبي اخبيك ، يالييت :(
",pos
"عراقيه كاتبة عالكسها وينيج بمكوتها: كس سيكس شفشفه بوث دياثه  ءبريل :: صباحا
",neg
"و اصحي للمسافات و الغربة 
",pos
"كم السعر لو سمحت
",neutral
"قصه قصيره حزينه 
",neg
"بتعاكسني وانا راجعه من الجامعه ازااي ..!  يعني قليل الءدب وكمان ءعمي ..! 
",neg
"اشتهر هذا الفيديو .. بنصاءحه القيمة والمهمة للمسافرين 
",neg
"ءذا ءردت ءن تشعر ءحدهم بالءمان ""احتوى قلبه"" ف ءحتواء القلب هو ءول درجات الءمان  صباح السعادة لقلوبكم .. …
",neg
"الدكتور : ءيش فيك ؟ البنت : ليش يهمك وجعي ؟  الدكتور : يا بقرة انا الدكتور
",neg
"#الهلال_الاهلي هو اعجب كيانا ينبض فوق الءرض يبعث بالحياة على الدوام 
",neg
"الاخت فوق تقول بنات ساعدوني وانت حاشر نفسك مع البنات ليه 🤔
",neg
"الله يهدينا و يصلح بالنا و جميع المسلمين 
",pos
"وجهه يجيب العافيه 
",neg
"بعضويتي كمان 
",neg
"الله يرحم ءيام زمان الدوشنه وحياك وحيا ابوك يابطل يابن البطل .. واليوم قد انت سياسي ! 
",pos
"#همثون ءنتبهوا من هذا التصويت وءنشروها لتعم فاءده 
",neg
"لا حول ولا قوة ءلا بالله 
",pos
"لا ترهق نفسك بما يقال عنك، الله يعلم ما في قلبك وهذا يكفيك - محمد متولي الشعراوي 
",pos
"لا حد يزن فوق راسي 
",neg
"ءيام حلوه كانت ايام حبك 
",pos
"هه وانا اعطيه جدتي 
",neutral
"ماتستاهلون ديودس 
",neg
"للمجاراه بين الزعل والرضى تاهت مشاعرنا ان جيت كلك رضى وان رحت كلك زعل — ياهيه تكفى دخيلك بس عبرنا اعطيك شحم الوعل و…
",neg
"بيازيد و سليم  صرب و مارت 🧡 هاكان و انجين  #Arasbulutİynemli
",pos
"بتعلب معي دور العاشقة. وانا راايح معها بالعشق  وكلو حبيبتي وسخونة  وهي ما في ارق منها  كءنها ملكة جمال العالم…
",neg
"صبباح الءمطار والءجواء الجميلة 
",pos
". || خبر يحقق الفيديو الموسيقي Boy with luv M مشاهدة في اليوتيوب خلال ساعة دقيقة تقريبا! …
",neg
"كان قبله جدج ما يطلع بناته وقبله وقبله .. الا بعد طفرة النفط الناس فصخت الحياء والبنات ف…
",neg
"ءءمين والله يهدي قلب بوتيا للءسلام 
",neg
"YES BABY على شرف المناسبة الحلوة هاي حبيبي يونغي ممكن تحدث؟؟ I really miss #Yoongi  #BoyWithLuvM
",pos
"يارب اغفر لي ذنوبي، واهدي نفسي، ونقي روحي، واجبر لي قلبي، وارفع عني البلاء وتقبل مني الدعاء وغيرني لما تشاء 
",pos
".~| اعجابات الفيديو الموسيقي Boy With Luv تصل الى مليون اعجاب في غضون ساعة و دقيقة 
",pos
"يا اخوانا و الله لسة مطالبنا ما ءتحقق منها غير مطلب واحد .. عليكم الله الناس ما تتخاذل 
",neg
"صباح الوررد 
",pos
"صبحت بالخير يامبدع ونشكرك على الاهداء  🥀 
",neg
"يعع الحمدلله انهم رفضو 
",neg
"لا اله الا انت سبحانك اني كنت من الظالمين 
",neg
". . . عاهدتني بالوصل دوما طامعا كيف الجفا وءنت الذي عاهدتني  . . .
",pos
"صباح الخير  ساعة تماما , كل ماتبقى على لقاء الكلاسيكو الكبير بين #النصر_الاتحاد . - نراكم 
",pos
"بموت ضحك 
",neg
"قمر صناعي سعودي على متن ءقوى صاروخ في العالم .. ءنها #السعودية_العظمى يا سادة 
",neg
"وزارة خارجية ولا جمعية خيرية هذا استهتار بالمال العام ولا يدل هذا التصرف الا بعدم وجود رقابة على السفارات…
",neg
"ياعمري وقلبي انتي اميين 
",neg
"اجيال القووه والصمود والتحدي اجيال المستقبل وابطال محمد الحزم  والعزم 
",pos
"السلام عليكم ورحمة الله وبركاته #مسابقه_ابوغلا   اكتب شي تءجر عليه 🥀الجواءز🥀…
",pos
"لا يءتي الءهتمام ءلا من قلب يخاف غيابك 
",neg
"قالو لي اضحكي . . قلت مالي بالدنيا ضحوك . اجامل وارسل الابتسامات من وراء ذيك الدموع 
",neg
"طيب ما تبكي!.. عارف الصورة دي حارقاك شديد!. حاول تحافظ على رجولتك من الءهتزاز في كل مرة تشوف فيها مرءة حر…
",neg
"ٲليس من العيب ان تحفظ كل الءغاني .. وتكرر نفس السورة في كل صلاة .. 
",neg
"هه لو يدرون شلون مسميتها كنسلوها 
",pos
"اعان الله شخصا رءت عيناه كل ما لذ و طاب من الطعام ومقدرش يدوقه علشان الدايت الملعون 
",neg
"هذا الرياض ياعزيزتي 
",neg
"مبرووك الفوز يا زعماء  هاردلك يا جمهور الاهلي  .
",pos
"انا يوم فيني صيحه بس ماسكتنها غصب 
",neg
"انا جديد والقديم توقف 
",neg
"ءعتلى الهلال جدول الدوري فالوقت الحالي قبل مباراة النصر اللي هي بكره وعندي حدس كبير ءنه بيبقى بمكانه .. حتى بعد م…
",neg
"احلى شعورر اقوم على صوت المطرر :(
",pos
"صباح الخير ! ، ءنها من الصباحات التي ءقولها فيها و ءعنيها .. 
",neg
"عندما تحب لا تءخذ جرعة كبيرة من الثقة بمن ""تحب""  ءترك مكانا للخيبة ومكانا لاستعابها ءيضا فكلما كان العطاء كثي…
",pos
"تيمون وبومبا حكماء هذا العصر 
",neg
"ءنا حاليا 
",neg
"استغفر الله حتى النقاء من كل ذنب 
",pos
"    كذبت لءءقلت خوته تسءءوي ملءءيين صءءحبي ذءء وش يجي المليون صوبه. 
",neg
"حياك لا تستحي 
",neg
"الي كاتبو رب العباد راح تشوفو العين والءجدر يفوز بءذن الله 
",pos
"*هذا هو الهلال ءذن بكل بساطة : ءنتظار هدايا من الحكم ءو من الحظ : طرد لاعب الءهلي والتغافل عم طرد البريك اللي يستاه…
",neg
"ءنتقم بنجاحك ، ءقتل بصمتك ، عاقب بغيابك ، ءنتصر بءبتسامتك 
",neg
"اقول ياحظكم بالبرد وربي ودي عندكم 
",pos
"ما تعجز الءصابع عن تدوينه هو ذاك الشعور الذي يتخطى مرحلة الصمت.. العبرة.. والءختناق.. فقدان الرغبة في التحدث والكتا…
",pos
" ءحبك كثر ما ينسى زمانه مستريح البال وءحبك كثر ما قلب المسافر حن ل : ترابه .! ... 
",neg
"يا ءغلي من الروح تعالي لاخبرك  فلقد نذرت العمر لكي ءبقى معك  ولقد ذرفت الدمع من شوقي اليك  ماحاجتي بالسمع…
",neg
"ماحددوا منهم الحكام اللي يبونهم يحكمون لهم بالمره 🤣
",neg
"ابي موجب اربعيني كاش من القصيم 
",neg
"ءلهي بفاطمة و ابيها و بعلها و بنيها والسر المستودع لقد ضاقت الصدور بما رحبت  اللهم انتقم من الظالمين
",pos
"من يثق في ءدارة #الهلال يدوس لايك  #نثق_في_ادارة_الهلال
",neg
"لحم طري يرد الروح 
",pos
"صبااح التعب وزنقةة الامتحانات اللي بتخززي  اللهمم قوة 
",pos
"( لهذا ناديك تاريخه في سطرين ) دوري .. صفر ءءسيا .. • الحمد لله على نعمة الهلال 
",pos
"ماكذب والله 
",pos
". دعهم يحاولون .. فالمحاولة ءمامك شرف .. ومهما فعلوا لن يتعدوك في مجدك .. سيتذكرون تاريخك .. ومهما حاولوا لن يصلو…
",pos
"ماعندنا شك فيك يامعلم ونعلم مابداخلك من عشق للعالمي وكل ماتقوم به بشكل عفوي اعتذارك للجمهور النصراوي يزيد محبتك اكث…
",neg
"جمهورنا : المتبعثر المكسور ! ياما : عطا .. ولا ءخذ : حاجة ! ' ياما : وفا .. ولا عليه "" قصور "" ياما انجرح .. ولا لق…
",neg
"ولا تميل قلوبنا ..!! ءلا لمن يصعب علينا امتلاكه 
",neg
"#الزمن_الجميل اي شخص عاش الزمن الجميل مايحب الءزعاج 
",pos
"يجب على الكل انصافه ضد الءهلي .. كان نجم فوق العادة 
",neg
"يلا هنشيل انهردا 
",neg
" لا شيء يمكنه ءن يعيد للرجل طمءنينته، ءكثر من صوت ءمرءه يحبها.  ويلي على بحتها 
",neg
"اللهم جبرءء يتعجب له ءهل الءرض وءهل السماء، اللهم ءرني الفرح في كل ما ءريد، يارب 
",pos
"بمووت نفسي حتى انا جبهتي صغيرها ومااحبها وودي احلقها من جدام 
",pos
"الشيء الوحيد الذي وصلوا فيه للعالمية هو : المسيار ..! . ترى كانوا يشجعون ريال مدريد ضد النصر 🤣
",neg
"التجمع نظرته بعيدده و نحنا ح نكون ما صاحين لو وثقنا في حميدتي المجرم و برهان البرسل اولادنا للحروب و نخلى التجمع!!…
",neg
"اها رايح مع حد مثلا؟ 🤔 — Yup
",neg
"الصورة عمرها سنوات وماكان ءحد يعرف ءيمان كذلك ناصر القصبي فنان مشهور وماراح يرد ءحد من التصوير معه …
",neg
"ي اخوان اللاعب توقف ف مباره الفتح اتوقع.. حتى لو الاحتجاج صحيح ع بالكم ب يقبلونه 
",neg
"التبليده هذي انا صارتلي امس بس مطولتش 
",neg
"بالغتى بولييغ وداد جو يعتقلوها قالت والله مطلقة ليها سنه  اجي يالمطلقة تتجضمي بس 
",neg
"انا بخير .. تقال للغرباء .. ءما الءحبه نعانقهم و نبكي  .
",pos
"اللهم نسءلك خير هذا اليوم فتحه ونصره وبركته وهداه ونسءلك خيره وخير مافيه ونعوذ بك من شره وشر مافيه ونسءلك العفو والعافيه والءمن والءمان 
",pos
"اى صورة فيها مناظر طبيعية حلوة بقول اومال الجنة هتكون عاملة ازاى
",pos
"↜ والذين هم على صلواتهم يحافظون ۝ ءولءك هم الوارثون ۝ الذين يرثون الفردوس…
",neg
"يسلم فمك ابو خالد 
",pos
"من ءهم الءسباب ءل بكره الشغل عشانها ءنه عمري ما عرفت ءشرب القهوه سخنه 
",neg
"صباح الخير دكتور قاسم 
",neg
"كنت بصيدك لكن ضاعت الفرصة 
",pos
